-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    cudaStreamWaitEvent         0.02%      48.510us         0.02%      48.510us       1.516us       1.760us         0.00%       1.760us       0.055us            32  
                   execute_context_0(0)_generation_1(1)         8.00%      17.636ms        26.88%      59.293ms       7.412ms       0.000us         0.00%       1.302ms     162.729us             8  
                                Activity Buffer Request         0.38%     838.769us         0.43%     949.072us     237.268us       0.000us         0.00%      14.111us       3.528us             4  
                                   cudaEventSynchronize        58.29%     128.553ms        94.31%     208.009ms      13.001ms       0.000us         0.00%       1.424ms      89.030us            16  
                                            aten::slice         0.71%       1.572ms         0.93%       2.050ms       4.344us       0.000us         0.00%       0.000us       0.000us           472  
                                       aten::as_strided         0.26%     574.227us         0.26%     574.227us       1.056us       0.000us         0.00%       0.000us       0.000us           544  
                                        cudaMemcpyAsync         0.62%       1.363ms         0.62%       1.363ms      13.103us       0.000us         0.00%       0.000us       0.000us           104  
                                       aten::lift_fresh         0.01%      20.031us         0.01%      20.031us       0.501us       0.000us         0.00%       0.000us       0.000us            40  
                                          aten::flatten         0.01%      25.120us         0.03%      61.695us       7.712us       0.000us         0.00%       0.000us       0.000us             8  
                                             aten::view         0.05%     108.123us         0.05%     108.123us       2.253us       0.000us         0.00%       0.000us       0.000us            48  
                                     aten::index_select         0.01%      26.464us         0.01%      26.464us       3.308us       0.000us         0.00%       0.000us       0.000us             8  
                                           aten::detach         0.02%      50.112us         0.02%      50.112us       2.088us       0.000us         0.00%       0.000us       0.000us            24  
                                               aten::to         0.06%     137.024us         0.96%       2.117ms      24.061us       0.000us         0.00%      68.189us       0.775us            88  
                                     aten::resolve_conj         0.00%      10.976us         0.00%      10.976us       0.457us       0.000us         0.00%       0.000us       0.000us            24  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 220.551ms
Self CUDA time total: 238.254ms

