role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Elementwise and metadata,_compute_local_logits_stats_kernel,8x19x1,128x1x1,1.0,5.6219375,4.91175,6.056,5.6219375,5.696,6.368,6.528,7
MLA/DSA BF16 GEMMs,nvjet_sm90_tss_64x8_64x16_1x1_h_bz_TNT,1x96x1,384x1x1,1.5,5.593875,3.344,8.1755,3.72925,3.68,4.256,4.736,0
MLA/DSA BF16 GEMMs,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT,4x4x1,384x1x1,1.0,5.1319375,0.0,10.336,5.1319375,5.152,5.376,5.568,0
Elementwise and metadata,at::native::unrolled_elementwise_kernel,2420x1x1,128x1x1,1.0,5.11,5.072,5.144,5.11,5.12,5.152,5.216,100
Elementwise and metadata,at::native::elementwise_kernel,2420x1x1,128x1x1,1.0,5.0158125,4.87975,5.12775,5.0158125,5.023,5.28,5.344,100
Elementwise and metadata,_resample_kernel,4x152x1,128x1x1,1.0,4.9199375,4.8317499999999995,5.0,4.9199375,4.928,5.152,5.184,29
Explicit copies,Memcpy DtoD ,,,5.0,4.676,4.5360000000000005,4.808,0.9352,0.8,1.376,1.888,
Elementwise and metadata,router_gemm_kernel_float_output,256x1x1,128x1x1,1.0,4.5878749999999995,4.568,4.607749999999999,4.5878749999999995,4.576,4.704,4.736,12
Elementwise and metadata,at::native::reduce_kernel,1x1x1,128x4x1,1.0,4.5039375,4.384,4.64,4.5039375,4.512,4.64,4.768,0
Explicit copies,Memcpy DtoH ,,,2.0,4.2879375,4.11175,4.52,2.14396875,1.984,2.88,3.488,
MLA/DSA BF16 GEMMs,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT,4x16x1,384x1x1,0.5,3.9918125,0.0,8.00775,7.983625,7.903,8.704,8.704,0
Elementwise and metadata,_rejection_kernel,4x1x1,32x1x1,1.0,3.9359375,3.80775,4.128,3.9359375,3.84,4.287,4.512,0
