hotness_rank,layer,effective_experts,gini,top_8_route_share,top_16_route_share,top_32_route_share,experts_for_50pct,experts_for_80pct,hottest_expert,hottest_expert_share,total_routes
59,15,117.12553229980033,0.5451498561813217,0.3757830641856512,0.4458699174343953,0.5315426411887019,26,121,7,0.04850065263253753,2108384
60,25,117.54266407117396,0.5262999596195475,0.3847159720430434,0.4430948062592014,0.5127230144034484,29,126,5,0.05011990225689438,2108384
61,17,118.81965532879235,0.5391171960669878,0.3740177311153945,0.44083383292607037,0.5241474038884757,27,122,1,0.04799078346259505,2108384
62,24,120.11433615053402,0.524489864779139,0.37424065065946244,0.44147128796272406,0.5167711384643405,28,127,6,0.048157261675292544,2108384
63,23,120.18259778745865,0.5308830498263124,0.3739641355654378,0.43059233991530954,0.5052888847572359,31,122,2,0.04916941126474115,2108384
64,12,121.08129042232214,0.5181381251292458,0.3761942795999211,0.4353125426867212,0.5075176059010124,31,128,6,0.04933541518053637,2108384
65,10,123.51227801225852,0.4902271197395731,0.37429946347534415,0.43869427959992113,0.5036117709108019,31,137,2,0.04759047687707742,2108384
66,11,123.93591356743383,0.4968968976951067,0.37610748326680526,0.4219473302775965,0.49058141211468126,35,133,2,0.048802779759284834,2108384
67,14,124.85220387001716,0.4879578869705423,0.3752575432179337,0.4211519343724862,0.4904561977324814,35,137,7,0.04807520831119948,2108384
68,6,126.16290384272016,0.46441074286633754,0.37930329579431454,0.4184693110932354,0.482174973818811,37,144,4,0.049177000015177504,2108384
69,8,126.53900812809643,0.4631623044888882,0.3775811237421646,0.41680642615386954,0.47704118414861807,39,143,7,0.05095561339869777,2108384
70,9,126.76550603422167,0.4668855981642812,0.3758404541108261,0.42011939001623994,0.4860457108382533,36,143,0,0.049740939031978994,2108384
71,13,126.96744403349366,0.4625958902351279,0.3763432088272345,0.4178152556650022,0.48322791294185496,37,145,2,0.048192833942962955,2108384
72,5,127.91225372342625,0.44971546113634897,0.37662114681196596,0.4146094829025453,0.47409390319789946,40,148,5,0.04817813073899252,2108384
73,4,128.44978477940177,0.44879037467202365,0.37526892634358827,0.4111030059040478,0.4710664660706968,41,147,2,0.04852673896216249,2108384
74,3,128.63326876666395,0.44283481744786535,0.37539366642888583,0.41439225492130466,0.47396536873738365,40,150,5,0.047490874527600285,2108384
75,7,128.7608577389371,0.44679883903382867,0.37480032100414346,0.41077099807245737,0.470969235205731,41,149,6,0.047237599981787,2108384
