layer,rank_0_route_share,rank_1_route_share,rank_2_route_share,rank_3_route_share,critical_rank,maximum_rank_route_share,minimum_rank_route_share,rank_share_spread
52,0.23684594222023234,0.2833855185333553,0.24089017249098663,0.2388783667554257,1,0.2833855185333553,0.23684594222023234,0.04653957631312297
37,0.2833707908193322,0.2519219666800198,0.230264126823291,0.234443115677357,0,0.2833707908193322,0.230264126823291,0.05310666399604119
66,0.28064910926785586,0.24275322831491386,0.22325373494827627,0.25334392746895396,0,0.28064910926785586,0.22325373494827627,0.057395374319579584
54,0.22717130687843157,0.24200506044253836,0.252504447769635,0.2783191849093951,3,0.2783191849093951,0.22717130687843157,0.051147878030963545
67,0.23483413648467139,0.2777860416617574,0.2478880458090817,0.23949177604448948,1,0.2777860416617574,0.23483413648467139,0.042951905177086025
29,0.2770452376463935,0.2284533543841459,0.22676850389989867,0.26773290406956196,0,0.2770452376463935,0.22676850389989867,0.05027673374649483
60,0.24085114404882532,0.2629139960411905,0.27679928482220706,0.21943557508777717,2,0.27679928482220706,0.21943557508777717,0.05736370973442989
71,0.27629559700261563,0.24799850366425524,0.25254863091170443,0.2231572684214247,0,0.27629559700261563,0.2231572684214247,0.05313832858119094
65,0.23031641020807314,0.27625141386054625,0.26669828215943636,0.2267338937719443,1,0.27625141386054625,0.2267338937719443,0.04951752008860194
12,0.23945422037373046,0.24905079883120862,0.27556068407286094,0.23593429672219995,2,0.27556068407286094,0.23593429672219995,0.039626387350660985
39,0.27536185993354856,0.2539941560430756,0.21372048566109764,0.2569234983622782,0,0.27536185993354856,0.21372048566109764,0.06164137427245092
28,0.2753574416193416,0.2615951292504183,0.24257428658953273,0.2204731425407074,0,0.2753574416193416,0.2204731425407074,0.05488429907863421
17,0.25420108042510076,0.25009204821264464,0.2749053007988312,0.22080157056342342,2,0.2749053007988312,0.22080157056342342,0.054103730235407765
16,0.27443916864999884,0.26035873765817563,0.2075134905860452,0.25768860310578035,0,0.27443916864999884,0.2075134905860452,0.06692567806395364
75,0.27442149539317107,0.23066766618752504,0.25110016023752857,0.24381067818177535,0,0.27442149539317107,0.23066766618752504,0.04375382920564602
43,0.2211734453425077,0.2614044053538186,0.27431471946650327,0.2431074298371704,2,0.27431471946650327,0.2211734453425077,0.05314127412399555
31,0.2378231260456677,0.27403636567146594,0.23478111671418808,0.25335939156867826,1,0.27403636567146594,0.23478111671418808,0.03925524895727786
68,0.26055756179748807,0.23225310460211607,0.2738846702170276,0.23330466338336828,2,0.2738846702170276,0.23225310460211607,0.04163156561491155
14,0.244826890449372,0.22912714730070458,0.25332625421212623,0.2727197080377972,3,0.2727197080377972,0.22912714730070458,0.04359256073709264
41,0.27230954120225276,0.2264599582911139,0.2509742382826307,0.25025626222400266,0,0.27230954120225276,0.2264599582911139,0.04584958291113886
33,0.2719656490798124,0.25122976412093223,0.2663411350943752,0.21046345170488018,0,0.2719656490798124,0.21046345170488018,0.06150219737493223
32,0.25291166906237483,0.213361129438933,0.26325715177792963,0.27047004972076255,3,0.27047004972076255,0.213361129438933,0.05710892028182954
51,0.26358705257204795,0.270129839526828,0.24907509955934679,0.21720800834177723,1,0.270129839526828,0.21720800834177723,0.05292183118505078
76,0.24109046940170134,0.26993764285882604,0.23493796686853452,0.2540339208709381,1,0.26993764285882604,0.23493796686853452,0.03499967599029152
30,0.24051167024059195,0.26454656314065556,0.22511752715790465,0.2698242394608478,3,0.2698242394608478,0.22511752715790465,0.04470671230294318
49,0.25513776303697244,0.23017355138204867,0.24591011381577396,0.26877857176520487,3,0.26877857176520487,0.23017355138204867,0.03860502038315619
10,0.2684494073567877,0.23899692485331198,0.24525841247025001,0.2472952553196503,0,0.2684494073567877,0.23899692485331198,0.029452482503475708
22,0.26733378301953487,0.24593662370101563,0.2630568548672149,0.22367273841223462,0,0.26733378301953487,0.22367273841223462,0.04366104460730025
73,0.23166105049838584,0.23881430119942504,0.26620416735395996,0.26332048094822913,2,0.26620416735395996,0.23166105049838584,0.034543116855574124
40,0.2565737151542286,0.2611083783019535,0.2661239013125339,0.21619400523128401,2,0.2661239013125339,0.21619400523128401,0.04992989608124987
36,0.23831134976553478,0.2319990515352169,0.26558486697928696,0.26410473171996135,2,0.26558486697928696,0.2319990515352169,0.03358581544407005
47,0.2279467210217499,0.26020556943233497,0.2651953189433749,0.24665239060254024,2,0.2651953189433749,0.2279467210217499,0.03724859792162499
56,0.25292345123359333,0.22031187407215402,0.2648558451351415,0.26190882955911116,2,0.2648558451351415,0.22031187407215402,0.044543971062987464
42,0.263925053608879,0.2330955298442397,0.2475883368287108,0.2553910797181705,0,0.263925053608879,0.2330955298442397,0.03082952376463932
3,0.2637564212833141,0.23899545208190964,0.25850010014845537,0.2387480264863209,0,0.2637564212833141,0.2387480264863209,0.02500839479699321
62,0.2530353818601692,0.2629986803968235,0.2300329017131277,0.2539330360298796,1,0.2629986803968235,0.2300329017131277,0.032965778683695796
5,0.2629972076254212,0.25738521219690363,0.22690399886891155,0.2527135813087636,0,0.2629972076254212,0.22690399886891155,0.036093208756509676
77,0.2589905330254259,0.2511796898932535,0.2629655430402715,0.22686423404104908,2,0.2629655430402715,0.22686423404104908,0.0361013089992224
15,0.23683857836322078,0.26254138487640505,0.25714146852982067,0.24347856823055353,1,0.26254138487640505,0.23683857836322078,0.025702806513184268
26,0.24634605415085892,0.24632838089403114,0.2624250359356222,0.24490052901948772,2,0.2624250359356222,0.24490052901948772,0.017524506916134497
8,0.2510206305818036,0.26241988123571414,0.2303753210641657,0.25618416711831654,1,0.26241988123571414,0.2303753210641657,0.03204456017154844
11,0.23789381907297877,0.25020471522492166,0.2611967445860923,0.2507047211160073,2,0.2611967445860923,0.23789381907297877,0.023302925513113554
69,0.2604043935716474,0.2582644567240851,0.2560980099912812,0.2252331397129863,0,0.2604043935716474,0.2252331397129863,0.0351712538586611
7,0.24534677875438887,0.24279152037137403,0.25983295826754954,0.25202874260668756,2,0.25983295826754954,0.24279152037137403,0.017041437896175515
34,0.25363774536371564,0.24970102740533026,0.2594191095034993,0.23724211772745482,2,0.2594191095034993,0.23724211772745482,0.022176991776044458
23,0.25017746895397885,0.251688532412753,0.25917315667931284,0.23896084195395528,2,0.25917315667931284,0.23896084195395528,0.02021231472535756
9,0.2580899333129109,0.23967219054127295,0.25443672384947097,0.24780115229634517,0,0.2580899333129109,0.23967219054127295,0.018417742771637963
25,0.2541296510120885,0.24148075382331455,0.2573631206258689,0.247026474538728,2,0.2573631206258689,0.24148075382331455,0.015882366802554365
24,0.25666281782406863,0.25245142799915166,0.25545809081697574,0.23542766335980395,0,0.25666281782406863,0.23542766335980395,0.02123515446426469
53,0.2526870714235219,0.2418879751160544,0.25482111718547495,0.25060383627494875,2,0.25482111718547495,0.2418879751160544,0.012933142069420561
72,0.25295732497584655,0.2504285764780734,0.25449342554846005,0.24212067299762,2,0.25449342554846005,0.24212067299762,0.012372752550840055
4,0.24848820015552467,0.2533844286825176,0.24484309093479747,0.25328428022716026,1,0.2533844286825176,0.24484309093479747,0.008541337747720118
35,0.2499469802295167,0.24678714918585196,0.24994624384381553,0.2533196267408158,3,0.2533196267408158,0.24678714918585196,0.006532477554963861
13,0.24998527228597686,0.2524919292127153,0.2504263673209699,0.24709643118033792,1,0.2524919292127153,0.24709643118033792,0.005395498032377377
6,0.24681881377100173,0.25168116855574146,0.24974889247590545,0.2517511251973514,3,0.2517511251973514,0.24681881377100173,0.004932311426349645
