rank_layer_load_rank,layer,route_count,layer_route_share,load_vs_balanced,hottest_expert,hottest_expert_rank_share,effective_local_experts,local_gini,top_8_local_route_share,local_experts_for_50pct,local_experts_for_80pct
16,28,355242,0.2615951292504183,1.0463805170016731,142,0.07279263150190575,48.62203903346086,0.3946316876945857,0.3232247313099239,16,35
17,43,354983,0.2614044053538186,1.0456176214152744,231,0.06307907702622378,50.305760786987804,0.37113463003862157,0.3269114295614156,17,37
18,40,354581,0.2611083783019535,1.044433513207814,95,0.07940075751379798,44.773056840781074,0.4598784815740269,0.36899326247035236,14,31
19,16,353563,0.26035873765817563,1.0414349506327025,21,0.06778707047965991,52.65417053247067,0.3291119174659114,0.2893967977418451,18,39
20,47,353355,0.26020556943233497,1.0408222777293399,92,0.05421460004811026,49.477270588788826,0.39846219630400026,0.3166985043369982,16,34
21,69,350719,0.2582644567240851,1.0330578268963404,117,0.056669299353613575,46.87201568262651,0.42961677475414795,0.3727428511144249,14,34
22,19,350168,0.2578587082027476,1.0314348328109904,182,0.07110015763861918,47.63211335622127,0.40928720285691433,0.3313780813780814,16,34
23,5,349525,0.25738521219690363,1.0295408487876145,190,0.033754380945568985,60.60788040413156,0.18072826514555462,0.19926471640082968,25,45
24,39,344920,0.2539941560430756,1.0159766241723025,184,0.053270323553287716,50.45747910752268,0.38087482242259085,0.3084657311840427,16,35
25,4,344092,0.2533844286825176,1.0135377147300704,70,0.03760331539239506,60.361557659233746,0.18626813468490977,0.20013252269741816,24,45
26,46,343595,0.2530184449890426,1.0120737799561703,236,0.0510310103464835,52.37573703011664,0.3503726680394068,0.2792910257716207,17,37
27,38,342906,0.2525110752409454,1.0100443009637816,126,0.0624311035677416,48.9776314545985,0.3973335622590448,0.3019136439724006,17,33
28,13,342880,0.2524919292127153,1.0099677168508612,188,0.031792463835744286,60.51474175700594,0.1794840760615959,0.2014669855342977,25,45
29,24,342825,0.25245142799915166,1.0098057119966066,162,0.05702617953766499,55.19559321437912,0.2934737566542698,0.27186173703784733,20,40
30,37,342106,0.2519219666800198,1.0076878667200793,159,0.06258001905842049,50.75084861962066,0.3692151518827498,0.2978287431380917,18,35
31,23,341789,0.251688532412753,1.006754129651012,61,0.04462694820488664,53.47593994960589,0.33027544954635757,0.2740228620581704,19,38
32,6,341779,0.25168116855574146,1.0067246742229659,231,0.03974790727341352,60.03375151110355,0.1962634754475845,0.20920243783263454,24,45
33,33,341166,0.25122976412093223,1.004919056483729,218,0.045306390437499636,52.96654119502432,0.34278630124338294,0.27362925965658946,18,37
34,77,341098,0.2511796898932535,1.004718759573014,230,0.06343338278148802,49.629424051115976,0.3853143011685791,0.3416701358553847,15,37
