role,category,kernel,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,logical_bytes_per_step,profiler_launch_occupancy_pct,grids,blocks,streams
Elementwise and metadata,kernel,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_8,10.5,14.435812499999992,0.0,28.739749999999987,1.374839285714285,0.0,9.571428571428571,"[(32, 1, 1), (128, 1, 1), (256, 1, 1)]","[(128, 1, 1), (256, 1, 1)]",[19]
MTP FP8 block,kernel,tensorrt_llm::kernels::cutlass_kernels::fusedBuildExpertMapsSortFirstTokenKernel,3.0,13.555812499999998,12.53975,14.167999999999997,4.518604166666666,0.0,0,"[(1, 1, 1)]","[(32, 1, 1)]",[19]
MTP FP8 block,kernel,router_gemm_kernel_float_output,3.0,10.620875000000002,10.356,10.824000000000002,3.540291666666667,0.0,12,"[(256, 1, 1)]","[(128, 1, 1)]",[19]
DSA indexer,kernel,deep_gemm::sched::smxx_paged_mqa_logits_metadata,4.0,9.421875,9.36375,9.463999999999997,2.35546875,0.0,0,"[(1, 1, 1)]","[(32, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_red_fused_fused_add_rms_norm_machete_mm_0,3.0,9.123812500000001,8.123875,10.387750000000002,3.041270833333334,0.0,1,"[(4, 1, 1)]","[(256, 1, 1), (512, 1, 1), (1024, 1, 1)]",[19]
Elementwise and metadata,kernel,_prepare_uniform_decode_kernel,2.0,8.062906250000001,7.975875000000003,8.171875,4.0314531250000005,0.0,0,"[(4, 1, 1)]","[(128, 1, 1)]",[19]
MTP FP8 block,kernel,tensorrt_llm::kernels::cutlass_kernels::expandInputRowsKernel,3.0,8.01078125,7.684000000000001,8.339875000000001,2.670260416666667,0.0,3,"[(32, 1, 1)]","[(256, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_red_fused_eq_rms_norm_scalar_tensor_unsqueeze_where_2,3.0,7.793906249999999,6.891999999999999,8.199749999999998,2.5979687499999997,0.0,0.75,"[(2, 1, 1), (4, 1, 1)]","[(512, 1, 1)]",[19]
MTP FP8 block,kernel,tensorrt_llm::kernels::cutlass_kernels::doActivationKernel,3.0,7.186937499999999,6.811999999999999,7.604,2.395645833333333,0.0,3,"[(32, 1, 1)]","[(256, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_red_fused_rms_norm_4,3.0,6.99196875,5.8,7.831874999999999,2.33065625,0.0,1.25,"[(4, 1, 1)]","[(512, 1, 1), (1024, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_red_fused_1,3.0,6.80078125,6.7040000000000015,7.015875,2.2669270833333335,0.0,1,"[(4, 1, 1)]","[(512, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_per_fused_mm_t_5,3.0,6.6779375000000005,4.904000000000002,7.332000000000002,2.225979166666667,0.0,3.75,"[(5, 1, 1), (640, 1, 1)]","[(64, 1, 1), (256, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_red_fused_rms_norm_1,1.0,6.40790625,2.2640000000000002,9.735875,6.40790625,0.0,0.25,"[(1, 1, 1), (2, 1, 1), (4, 1, 1)]","[(128, 1, 1), (512, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_red_fused_8,3.0,6.3118125,5.2755,8.147749999999998,2.1039375000000002,0.0,0.75,"[(2, 1, 1), (4, 1, 1), (8, 1, 1)]","[(128, 1, 1), (256, 1, 1), (512, 1, 1), (1024, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_9,3.0,5.567875000000001,5.435875000000001,5.723875,1.8559583333333336,0.0,8.25,"[(128, 1, 1), (256, 1, 1)]","[(64, 1, 1), (128, 1, 1)]",[19]
DSA indexer,kernel,triton_tem_fused_mm_t_6,0.75,5.52390625,0.0,7.496,7.3652083333333325,0.0,3,"[(128, 1, 1)]","[(64, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_0,3.0,4.963843750000001,4.77575,5.155875000000001,1.6546145833333339,0.0,3.75,"[(24, 1, 1), (48, 1, 1), (96, 1, 1)]","[(64, 1, 1), (128, 1, 1), (256, 1, 1), (512, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_7,3.0,4.525906250000001,4.267750000000001,4.640000000000001,1.5086354166666671,0.0,0,"[(2, 1, 1), (8, 1, 1)]","[(64, 1, 1), (128, 1, 1), (256, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_machete_mm_mul_silu_slice_1,3.0,4.522906250000001,4.263750000000001,4.6758750000000004,1.507635416666667,0.0,5.416666666666667,"[(24, 1, 1), (48, 1, 1), (192, 1, 1)]","[(64, 1, 1), (128, 1, 1), (256, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_per_fused__to_copy_native_layer_norm_slice_6,3.0,4.194968750000001,3.820000000000001,4.531875000000001,1.398322916666667,0.0,0,"[(2, 1, 1), (4, 1, 1)]","[(32, 1, 1), (64, 1, 1), (128, 1, 1)]",[19]
Explicit copies,gpu_memcpy,Memcpy DtoH ,2.0,3.928000000000001,3.688,4.192,1.9640000000000004,20.0,,[],[],"[23, 31]"
DSA indexer,kernel,nvjet_sm90_tss_64x8_64x16_1x1_h_bz_TNT,1.0,3.3469375000000006,0.0,10.039875000000002,3.3469375000000006,0.0,0,"[(1, 96, 1)]","[(384, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_red_fused_5,1.0,3.25796875,1.6199999999999999,4.071875,3.25796875,0.0,0.5,"[(2, 1, 1), (8, 1, 1)]","[(128, 1, 1), (512, 1, 1)]",[19]
Elementwise and metadata,kernel,at::native::_scatter_gather_elementwise_kernel,2.0,3.2079375000000008,3.0960000000000005,3.399875000000001,1.6039687500000004,0.0,0,"[(1, 1, 1)]","[(128, 1, 1)]",[19]
Elementwise and metadata,kernel,at::native::vectorized_gather_kernel,2.0,3.173000000000001,3.0840000000000005,3.220000000000001,1.5865000000000005,0.0,11.5,"[(3, 76, 1), (4, 3, 1)]","[(256, 1, 1)]",[19]
Elementwise and metadata,kernel,eagle_step_slot_mapping_metadata_kernel,2.0,2.81384375,2.7760000000000002,2.83975,1.406921875,0.0,0,"[(4, 1, 1)]","[(128, 1, 1)]",[19]
Elementwise and metadata,kernel,_compute_slot_mapping_kernel,1.0,2.51696875,2.42,2.659875,2.51696875,0.0,0,"[(2, 1, 1)]","[(128, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_embedding_ge_lt_masked_fill_mul_sub_unsqueeze_0,1.0,2.1209374999999997,1.7479999999999998,3.1479999999999997,2.1209374999999997,0.0,34,"[(192, 1, 1), (384, 1, 1), (3072, 1, 1)]","[(64, 1, 1), (128, 1, 1), (256, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_per_fused_mm_t_2,1.0,1.7789375,1.223875,2.3,1.7789375,0.0,4.25,"[(5, 1, 1), (40, 1, 1)]","[(128, 1, 1), (256, 1, 1), (1024, 1, 1)]",[19]
Elementwise and metadata,kernel,rejection_greedy_sample_kernel,1.0,1.6249375,1.5839999999999999,1.659875,1.6249375,0.0,0,"[(1, 1, 1)]","[(128, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_add_bitwise_and_clamp_copy__ge_gt_index_where_0,1.0,1.5619999999999998,1.4839999999999998,1.644,1.5619999999999998,0.0,0,"[(1, 1, 1)]","[(32, 1, 1)]",[19]
Elementwise and metadata,kernel,at::native::,1.0,1.4269062499999998,1.324,1.4878749999999998,1.4269062499999998,0.0,0,"[(1, 3, 1)]","[(128, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_4,1.0,1.4139687499999998,1.3439999999999999,1.4919999999999998,1.4139687499999998,0.0,0,"[(2, 1, 1), (8, 1, 1)]","[(128, 1, 1)]",[19]
Elementwise and metadata,kernel,eagle_prepare_next_token_padded_kernel,1.0,1.3509687499999998,1.284,1.4119999999999997,1.3509687499999998,0.0,0,"[(1, 1, 1)]","[(128, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_per_fused__to_copy_native_layer_norm_slice_3,1.0,1.3359999999999999,1.264,1.392,1.3359999999999999,0.0,0,"[(2, 1, 1), (4, 1, 1)]","[(32, 1, 1), (64, 1, 1)]",[19]
Elementwise and metadata,kernel,eagle_prepare_inputs_padded_kernel,1.0,1.0989375,1.0038749999999999,1.1440000000000001,1.0989375,0.0,0,"[(1, 1, 1)]","[(128, 1, 1)]",[19]
Elementwise and metadata,kernel,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_6,0.25,0.326,0.0,1.304,1.304,0.0,12,"[(128, 1, 1)]","[(256, 1, 1)]",[19]
