-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us     249.149us         0.10%     249.149us       1.483us           168
void deep_gemm::fp8_gemm_kernel_swapAB<2624u, 6144u,...         0.00%       0.000us         0.00%       0.000us       0.000us     245.337us         0.10%     245.337us      10.222us            24
void deep_gemm::fp8_gemm_kernel_swapAB<1024u, 6144u,...         0.00%       0.000us         0.00%       0.000us       0.000us     237.309us         0.10%     237.309us       9.888us            24
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     229.466us         0.09%     229.466us       1.434us           160
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     227.130us         0.09%     227.130us       0.958us           237
                                            aten::index         1.00%       2.150ms         2.49%       5.371ms      55.953us     222.367us         0.09%     297.534us       3.099us            96
    triton_per_fused__to_copy_native_layer_norm_slice_4         0.00%       0.000us         0.00%       0.000us       0.000us     222.107us         0.09%     222.107us       1.388us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     208.063us         0.09%     208.063us       8.669us            24
void smxx::decode::flash_fwd_mla_combine_kernel<cutl...         0.00%       0.000us         0.00%       0.000us       0.000us     190.784us         0.08%     190.784us      11.924us            16
void tensorrt_llm::kernels::fp8_blockscale_gemm::sca...         0.00%       0.000us         0.00%       0.000us       0.000us     190.782us         0.08%     190.782us       3.975us            48
                                              aten::bmm         0.68%       1.467ms         0.96%       2.071ms      43.149us     183.547us         0.08%     183.547us       3.824us            48
                                  cudaStreamIsCapturing         0.12%     266.873us         0.12%     266.873us       0.629us     176.540us         0.07%     176.540us       0.416us           424
void tensorrt_llm::kernels::cutlass_kernels::finaliz...         0.00%       0.000us         0.00%       0.000us       0.000us     175.037us         0.07%     175.037us       7.293us            24
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     157.757us         0.07%     157.757us       1.096us           144
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     127.229us         0.05%     127.229us       7.952us            16
                               cudaEventRecordWithFlags         0.12%     249.081us         0.12%     249.081us       1.730us     126.782us         0.05%     126.782us       0.880us           144
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     126.527us         0.05%     126.527us       2.636us            48
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us     113.344us         0.05%     113.344us       4.723us            24
void deep_gemm::fp8_gemm_kernel_swapAB<6144u, 512u, ...         0.00%       0.000us         0.00%       0.000us       0.000us     106.172us         0.04%     106.172us       4.424us            24
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     101.919us         0.04%     101.919us       2.123us            48
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      96.703us         0.04%      96.703us       1.343us            72
                                            aten::fill_         0.67%       1.435ms         1.32%       2.842ms      12.690us      90.815us         0.04%      90.815us       0.405us           224
void router_gemm_kernel_float_output<__nv_bfloat16, ...         0.00%       0.000us         0.00%       0.000us       0.000us      85.246us         0.04%      85.246us       3.552us            24
       triton_red_fused_fused_add_rms_norm_machete_mm_0         0.00%       0.000us         0.00%       0.000us       0.000us      83.102us         0.03%      83.102us       3.463us            24
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      82.784us         0.03%      82.784us       3.449us            24
     triton_red_fused_add_fused_add_rms_norm_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      80.474us         0.03%      80.474us       3.353us            24
                 nvjet_sm90_tss_64x8_64x16_1x1_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      80.319us         0.03%      80.319us       3.347us            24
void deep_gemm::sched::smxx_paged_mqa_logits_metadat...         0.00%       0.000us         0.00%       0.000us       0.000us      74.910us         0.03%      74.910us       2.341us            32
void tensorrt_llm::kernels::cutlass_kernels::expandI...         0.00%       0.000us         0.00%       0.000us       0.000us      65.631us         0.03%      65.631us       2.735us            24
                         _prepare_uniform_decode_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      64.767us         0.03%      64.767us       4.048us            16
                                             aten::mean         0.20%     431.226us         0.31%     659.222us      27.468us      63.104us         0.03%      63.104us       2.629us            24
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      63.104us         0.03%      63.104us       2.629us            24
                                              aten::mul         0.28%     595.096us         0.46%     984.747us      20.516us      61.630us         0.03%      61.630us       1.284us            48
void tensorrt_llm::kernels::cutlass_kernels::doActiv...         0.00%       0.000us         0.00%       0.000us       0.000us      60.832us         0.03%      60.832us       2.535us            24
                                triton_per_fused_mm_t_5         0.00%       0.000us         0.00%       0.000us       0.000us      58.656us         0.02%      58.656us       2.444us            24
                                triton_tem_fused_mm_t_6         0.00%       0.000us         0.00%       0.000us       0.000us      58.207us         0.02%      58.207us       7.276us             8
triton_red_fused_eq_rms_norm_scalar_tensor_unsqueeze...         0.00%       0.000us         0.00%       0.000us       0.000us      55.136us         0.02%      55.136us       2.297us            24
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      53.632us         0.02%      53.632us       2.235us            24
                                              aten::add         0.33%     705.205us         0.54%       1.167ms      20.839us      53.023us         0.02%      53.023us       0.947us            56
                            triton_red_fused_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us      46.400us         0.02%      46.400us       1.933us            24
triton_poi_fused_add_copy_index_select_mul_slice_spl...         0.00%       0.000us         0.00%       0.000us       0.000us      45.791us         0.02%      45.791us       1.908us            24
                _C_cache_ops::indexer_k_quant_and_cache         0.15%     327.740us         0.29%     632.245us      26.344us      43.904us         0.02%      43.904us       1.829us            24
                     _C_cache_ops::concat_and_cache_mla         0.15%     326.521us         0.29%     617.107us      25.713us      42.624us         0.02%      42.624us       1.776us            24
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 215.652ms
Self CUDA time total: 242.343ms
