role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Attention/index support,smxx::decode::get_mla_metadata_kernel,1x1x1,32x1x1,4.0,65.52758333333333,65.34683333333334,65.69983333333333,16.381895833333335,24.927,25.407,25.599,0
MLA/DSA BF16 GEMMs,nvjet_sm90_tss_64x8_64x16_1x1_h_bz_TNT,1x96x1,384x1x1,15.0,51.08045833333333,7.066666666666666,68.55333333333333,3.4053638888888886,3.392,3.552,3.712,0
Attention/index support,_fused_indexer_q_rope_quant_kernel,4x32x1,32x1x1,24.0,50.44929166666667,48.54833333333334,52.799,2.1020538194444445,2.112,2.272,2.4,2
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_marlin_gemm_2,4x1x1,256x1x1,14.25,49.94708333333333,0.0,199.78833333333333,3.5050584795321638,3.488,3.68,3.84,0
Attention/index support,vllm::indexer_k_quant_and_cache_kernel,4x1x1,32x4x1,22.0,40.647125,39.737833333333334,41.1515,1.847596590909091,1.856,1.952,2.048,0
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_5,256x1x1,64x1x1,28.25,39.257875,0.0,79.10233333333333,1.3896592920353983,1.376,1.472,1.536,6
Elementwise and metadata,triton_poi_fused_3,1x1x1,64x1x1,28.5,38.70433333333334,0.0,80.16333333333333,1.358046783625731,1.344,1.44,1.568,0
MTP BF16 projection,triton_tem_fused_mm_t_3,96x1x1,128x1x1,0.75,38.11116666666667,0.0,152.44466666666668,50.81488888888889,50.239,53.599,53.823,0
MTP BF16 projection,triton_tem_fused_mm_t_3,192x1x1,64x1x1,0.75,37.77379166666667,0.0,151.09516666666667,50.36505555555556,49.823,52.734,53.119,5
MLA/DSA BF16 GEMMs,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT,4x4x1,384x1x1,7.5,35.62741666666667,14.277,99.24616666666667,4.750322222222222,4.736,4.896,5.024,0
Explicit copies,Memcpy HtoD ,,,29.0,35.61929166666667,33.279666666666664,39.44983333333334,1.2282514367816093,0.864,2.08,3.232,
DCP/index metadata,_pack_dcp_topk_candidates_triton_kernel,4x4x1,256x1x1,22.0,35.052625,34.938,35.13466666666667,1.5933011363636365,1.599,1.664,1.792,2
MTP FP8 block,tensorrt_llm::kernels::fp8_blockscale_gemm::scale_1x128_kernel,1056x1x1,256x1x1,18.0,33.3635,33.00716666666667,33.90333333333333,1.8535277777777779,1.696,2.4,2.688,100
Elementwise and metadata,at::native::reduce_kernel,1x19x1,512x1x1,4.0,33.29266666666667,33.0925,33.482166666666664,8.323166666666667,8.288,8.639,8.992,4
Elementwise and metadata,triton_red_fused_4,8x1x1,128x1x1,14.0,30.45679166666667,0.0,121.82716666666668,2.175485119047619,2.176,2.304,2.4,0
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_2,4x1x1,1024x1x1,10.0,29.341916666666663,0.0,68.0085,2.9341916666666665,3.168,3.52,3.712,2
DSA top-k,vllm::cooperative::cooperative_topk_cs8,1x8x1,1024x1x1,2.0,28.794125,28.340833333333336,29.30633333333333,14.3970625,14.432,14.719,15.295,0
Elementwise and metadata,triton_poi_fused_add_mul_1,384x1x1,64x1x1,19.5,25.46075,0.0,97.5605,1.3056794871794872,1.312,1.408,1.536,9
